Wavenumber,Intensity
2.250000000000000000e+02,3.908088235294117396e+01
2.260000000000000000e+02,4.216176470588234793e+01
2.270000000000000000e+02,4.625980392156862564e+01
2.280000000000000000e+02,5.122794117647058698e+01
2.290000000000000000e+02,5.649754901960784537e+01
2.300000000000000000e+02,6.202205882352941302e+01
2.310000000000000000e+02,6.734068627450979250e+01
2.320000000000000000e+02,7.128186274509802445e+01
2.330000000000000000e+02,7.347303921568627061e+01
2.340000000000000000e+02,7.426715686274509665e+01
2.350000000000000000e+02,7.277450980392156055e+01
2.360000000000000000e+02,7.028676470588236214e+01
2.370000000000000000e+02,6.766666666666667140e+01
2.380000000000000000e+02,6.425735294117647811e+01
2.390000000000000000e+02,6.029901960784314241e+01
2.400000000000000000e+02,5.506862745098039369e+01
2.410000000000000000e+02,5.123529411764706509e+01
2.420000000000000000e+02,4.845098039215685759e+01
2.430000000000000000e+02,4.508088235294118107e+01
2.440000000000000000e+02,4.107598039215685759e+01
2.450000000000000000e+02,3.756372549019607732e+01
2.460000000000000000e+02,3.484803921568627061e+01
2.470000000000000000e+02,3.211274509803921973e+01
2.480000000000000000e+02,3.041421568627451322e+01
2.490000000000000000e+02,2.948039215686274517e+01
2.500000000000000000e+02,2.845098039215686114e+01
2.510000000000000000e+02,2.785049019607843590e+01
2.520000000000000000e+02,2.741421568627451322e+01
2.530000000000000000e+02,2.696813725490196134e+01
2.540000000000000000e+02,2.666911764705882248e+01
2.550000000000000000e+02,2.662254901960784181e+01
2.560000000000000000e+02,2.742647058823529349e+01
2.570000000000000000e+02,2.789705882352940947e+01
2.580000000000000000e+02,2.810539215686274517e+01
2.590000000000000000e+02,2.824509803921568718e+01
2.600000000000000000e+02,2.830392156862744812e+01
2.610000000000000000e+02,2.821078431372548678e+01
2.620000000000000000e+02,2.895343137254901933e+01
2.630000000000000000e+02,2.937254901960784537e+01
2.640000000000000000e+02,3.066421568627450611e+01
2.650000000000000000e+02,3.246323529411764497e+01
2.660000000000000000e+02,3.407352941176470296e+01
2.670000000000000000e+02,3.568872549019607732e+01
2.680000000000000000e+02,3.742401960784314241e+01
2.690000000000000000e+02,3.898529411764705799e+01
2.700000000000000000e+02,3.980637254901960631e+01
2.710000000000000000e+02,4.069607843137254832e+01
2.720000000000000000e+02,4.164460784313725839e+01
2.730000000000000000e+02,4.339705882352941302e+01
2.740000000000000000e+02,4.477941176470588402e+01
2.750000000000000000e+02,4.652941176470588402e+01
2.760000000000000000e+02,4.846078431372549034e+01
2.770000000000000000e+02,4.912745098039215463e+01
2.780000000000000000e+02,4.861519607843137436e+01
2.790000000000000000e+02,4.749019607843137436e+01
2.800000000000000000e+02,4.557843137254902643e+01
2.810000000000000000e+02,4.403921568627450966e+01
2.820000000000000000e+02,4.329656862745098778e+01
2.830000000000000000e+02,4.289460784313725839e+01
2.840000000000000000e+02,4.288970588235294912e+01
2.850000000000000000e+02,4.321813725490196134e+01
2.860000000000000000e+02,4.364460784313725839e+01
2.870000000000000000e+02,4.488480392156862564e+01
2.880000000000000000e+02,4.845343137254902643e+01
2.890000000000000000e+02,5.160539215686274161e+01
2.900000000000000000e+02,5.487500000000000000e+01
2.910000000000000000e+02,5.747303921568627771e+01
2.920000000000000000e+02,5.913725490196078027e+01
2.930000000000000000e+02,6.202696078431372229e+01
2.940000000000000000e+02,6.511274509803921262e+01
2.950000000000000000e+02,7.151470588235294201e+01
2.960000000000000000e+02,8.041911764705882604e+01
2.970000000000000000e+02,9.004901960784313530e+01
2.980000000000000000e+02,1.007034313725490193e+02
2.990000000000000000e+02,1.077426470588235361e+02
3.000000000000000000e+02,1.110245098039215605e+02
3.010000000000000000e+02,1.111127450980392268e+02
3.020000000000000000e+02,1.081029411764705941e+02
3.030000000000000000e+02,9.988725490196077317e+01
3.040000000000000000e+02,8.754166666666667140e+01
3.050000000000000000e+02,7.577696078431371518e+01
3.060000000000000000e+02,6.529166666666667140e+01
3.070000000000000000e+02,5.487009803921569073e+01
3.080000000000000000e+02,4.569852941176470296e+01
3.090000000000000000e+02,3.938235294117647101e+01
3.100000000000000000e+02,3.588970588235294201e+01
3.110000000000000000e+02,3.309068627450980671e+01
3.120000000000000000e+02,3.075980392156862919e+01
3.130000000000000000e+02,2.866666666666666785e+01
3.140000000000000000e+02,2.629656862745098067e+01
3.150000000000000000e+02,2.503431372549019329e+01
3.160000000000000000e+02,2.451960784313725483e+01
3.170000000000000000e+02,2.449019607843137081e+01
3.180000000000000000e+02,2.550980392156862919e+01
3.190000000000000000e+02,2.563970588235294201e+01
3.200000000000000000e+02,2.485294117647059053e+01
3.210000000000000000e+02,2.396323529411764852e+01
3.220000000000000000e+02,2.346568627450980316e+01
3.230000000000000000e+02,2.299264705882353255e+01
3.240000000000000000e+02,2.268627450980392268e+01
3.250000000000000000e+02,2.197303921568627416e+01
3.260000000000000000e+02,2.181372549019607732e+01
3.270000000000000000e+02,2.169607843137255188e+01
3.280000000000000000e+02,2.177205882352940947e+01
3.290000000000000000e+02,2.187254901960784537e+01
3.300000000000000000e+02,2.188480392156862919e+01
3.310000000000000000e+02,2.150490196078431282e+01
3.320000000000000000e+02,2.173774509803921617e+01
3.330000000000000000e+02,2.225735294117647456e+01
3.340000000000000000e+02,2.233578431372548678e+01
3.350000000000000000e+02,2.278676470588235148e+01
3.360000000000000000e+02,2.285539215686274517e+01
3.370000000000000000e+02,2.333578431372549389e+01
3.380000000000000000e+02,2.333578431372548678e+01
3.390000000000000000e+02,2.336764705882353255e+01
3.400000000000000000e+02,2.337254901960784537e+01
3.410000000000000000e+02,2.337254901960784537e+01
3.420000000000000000e+02,2.336764705882353255e+01
3.430000000000000000e+02,2.336764705882353255e+01
3.440000000000000000e+02,2.337254901960784537e+01
3.450000000000000000e+02,2.337254901960784537e+01
3.460000000000000000e+02,2.336764705882353255e+01
3.470000000000000000e+02,2.336764705882353255e+01
3.480000000000000000e+02,2.337254901960784537e+01
3.490000000000000000e+02,2.337254901960784537e+01
3.500000000000000000e+02,2.336764705882353255e+01
3.510000000000000000e+02,2.341666666666666785e+01
3.520000000000000000e+02,2.355392156862744812e+01
3.530000000000000000e+02,2.467156862745098067e+01
